GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Weather,com.weather.web,WeatherController,144,0,4,0,27,0,10,0,8,0
Weather,com.weather.web,NotFoundException,7,0,0,0,4,0,2,0,2,0
Weather,com.weather.web,ServletInitializer,12,0,0,0,2,0,2,0,2,0
Weather,com.weather.entities,GeoFigure,142,0,0,0,19,0,9,0,9,0
Weather,com.weather.entities,Coordinate,23,0,0,0,10,0,5,0,5,0
Weather,com.weather.entities,Rain,9,0,0,0,4,0,1,0,1,0
Weather,com.weather.entities,Weather,28,0,0,0,11,0,8,0,8,0
Weather,com.weather.entities,IntensityPeak,9,0,0,0,4,0,1,0,1,0
Weather,com.weather.entities,Drought,13,0,0,0,6,0,2,0,2,0
Weather,com.weather.entities,Sunny,10,0,0,0,4,0,1,0,1,0
Weather,com.weather.entities,Planet,75,0,0,0,22,0,10,0,10,0
Weather,com.weather.entities,OptimalConditions,10,0,0,0,4,0,1,0,1,0
Weather,com.weather.web.dto,DroughtPeriodsDTO,34,0,0,0,10,0,5,0,5,0
Weather,com.weather.web.dto,RainPeriodsDTO,34,0,0,0,10,0,5,0,5,0
Weather,com.weather.web.dto,WeatherDTO,48,0,5,0,19,0,9,0,5,0
Weather,com.weather.config,WeatherApplicationComponentScan,3,0,0,0,1,0,1,0,1,0
Weather,com.weather.config,WeatherApplication,8,0,0,0,3,0,2,0,2,0
Weather,com.weather.config,DataSourceConfig,24,0,0,0,7,0,2,0,2,0
Weather,com.weather.config,WeatherApplicationComponentScan.ApplicationComponentScan,6,0,0,0,1,0,1,0,1,0
Weather,com.weather.services,WeatherService,364,0,32,0,55,0,26,0,10,0
